time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;speed_test;SS;
0;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,004;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,009;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,013;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,017;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,021;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,024;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,027;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,031;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,035;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,039;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,042;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,045;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,049;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,052;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,056;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,06;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,065;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,069;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,072;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,076;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,08;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,084;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,087;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,09;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,093;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,096;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,1;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,103;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,105;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,108;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,111;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,114;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,118;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,121;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,125;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,128;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,131;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,135;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,138;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,141;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,144;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,148;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,152;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,155;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,159;-0,125;-31,5;0,1875;3,121299982070923;100;0;
0,162;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,166;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,17;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,175;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,178;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,182;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,186;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,192;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,195;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,199;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,203;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,206;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,209;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,212;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
0,216;-0,125;-31,5;0,1875;4,0131001472473145;100;0;
