time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;speed_test;
0;-0,8125;-0,7918300032615662;-0,7871195077896118;-31,5625;-31,463274002075195;-31,459260940551758;100;
0,005;-0,8125;-0,7918300032615662;-0,7871195077896118;-31,5625;-31,463274002075195;-31,459260940551758;100;
0,009;-0,8125;-0,7918300032615662;-0,7871195077896118;-31,5625;-31,463274002075195;-31,459260940551758;100;
0,012;-0,8125;-0,7947573065757751;-0,7886202931404114;-31,5625;-31,45708465576172;-31,454998016357422;100;
0,016;-0,8125;-0,7947573065757751;-0,7886202931404114;-31,5625;-31,45708465576172;-31,454998016357422;100;
0,02;-0,8125;-0,7952333092689514;-0,7881314158439636;-31,5625;-31,45191192626953;-31,45207405090332;100;
0,023;-0,8125;-0,7952333092689514;-0,7881314158439636;-31,5625;-31,45191192626953;-31,45207405090332;100;
0,028;-0,8125;-0,7952333092689514;-0,7881314158439636;-31,5625;-31,45191192626953;-31,45207405090332;100;
0,031;-0,8125;-0,7956496477127075;-0,7876173853874207;-31,5625;-31,45296859741211;-31,453216552734375;100;
0,034;-0,8125;-0,7956496477127075;-0,7876173853874207;-31,5625;-31,45296859741211;-31,453216552734375;100;
0,038;-0,8125;-0,7956496477127075;-0,7876173853874207;-31,5625;-31,45296859741211;-31,453216552734375;100;
0,041;-0,8125;-0,7919105291366577;-0,7852930426597595;-31,5625;-31,454320907592773;-31,454328536987305;100;
0,044;-0,8125;-0,7919105291366577;-0,7852930426597595;-31,5625;-31,454320907592773;-31,454328536987305;100;
0,047;-0,8125;-0,7919105291366577;-0,7852930426597595;-31,5625;-31,454320907592773;-31,454328536987305;100;
0,05;-0,8125;-0,7894594073295593;-0,7830463647842407;-31,5625;-31,454437255859375;-31,45442771911621;100;
0,054;-0,8125;-0,7894594073295593;-0,7830463647842407;-31,5625;-31,454437255859375;-31,45442771911621;100;
0,057;-0,8125;-0,7924773097038269;-0,7843874096870422;-31,5625;-31,451480865478516;-31,452518463134766;100;
0,061;-0,8125;-0,7924773097038269;-0,7843874096870422;-31,5625;-31,451480865478516;-31,452518463134766;100;
0,065;-0,8125;-0,7924773097038269;-0,7843874096870422;-31,5625;-31,451480865478516;-31,452518463134766;100;
0,068;-0,8125;-0,7924773097038269;-0,7843874096870422;-31,5625;-31,451480865478516;-31,452518463134766;100;
0,071;-0,8125;-0,798979640007019;-0,78866046667099;-31,5625;-31,451976776123047;-31,45241928100586;100;
0,075;-0,8125;-0,798979640007019;-0,78866046667099;-31,5625;-31,451976776123047;-31,45241928100586;100;
0,079;-0,8125;-0,798979640007019;-0,78866046667099;-31,5625;-31,451976776123047;-31,45241928100586;100;
0,082;-0,8125;-0,8018052577972412;-0,790534496307373;-31,5625;-31,450345993041992;-31,450929641723633;100;
0,085;-0,8125;-0,8018052577972412;-0,790534496307373;-31,5625;-31,450345993041992;-31,450929641723633;100;
0,088;-0,8125;-0,8018052577972412;-0,790534496307373;-31,5625;-31,450345993041992;-31,450929641723633;100;
