time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;SS;
0;-31,125;12;0,000009999999747378752;2,5;0;0;
0,006;-31,125;12;0,000009999999747378752;2,5;0;0;
0,01;-31,125;12;0,000009999999747378752;2,5;0;0;
0,014;-31,125;12;0,000009999999747378752;2,5;0;0;
0,018;-31,125;12;0,000009999999747378752;2,5;0;0;
0,022;-31,125;12;0,000009999999747378752;2,5;0;0;
0,026;-31,125;12;0,000009999999747378752;2,5;0;0;
0,029;-31,125;12;0,000009999999747378752;2,5;0;0;
0,033;-31,125;12;0,000009999999747378752;2,5;0;0;
0,037;-31,125;12;0,000009999999747378752;2,5;0;0;
0,041;-31,125;12;0,000009999999747378752;2,5;0;0;
0,044;-31,125;12;0,000009999999747378752;2,5;0;0;
0,047;-31,125;12;0,000009999999747378752;2,5;0;0;
0,05;-31,125;12;0,000009999999747378752;2,5;0;0;
0,055;-31,125;12;0,000009999999747378752;2,5;0;0;
0,059;-31,125;12;0,000009999999747378752;2,5;0;0;
0,062;-31,125;12;0,000009999999747378752;2,5;0;0;
0,067;-31,125;12;0,000009999999747378752;2,5;0;0;
0,071;-31,125;12;0,000009999999747378752;2,5;0;0;
0,074;-31,125;12;0,000009999999747378752;2,5;0;0;
0,078;-31,125;12;0,000009999999747378752;2,5;0;0;
0,081;-31,125;12;0,000009999999747378752;2,5;0;0;
0,084;-31,125;12;0,000009999999747378752;2,5;0;0;
0,088;-31,125;12;0,000009999999747378752;2,5;0;0;
0,092;-31,125;12;0,000009999999747378752;2,5;0;0;
0,095;-31,125;12;0,000009999999747378752;2,5;0;0;
0,098;-31,125;12;0,000009999999747378752;2,5;0;0;
0,1;-31,125;12;0,000009999999747378752;2,5;0;0;
0,104;-31,125;12;0,000009999999747378752;2,5;0;0;
0,107;-31,125;12;0,000009999999747378752;2,5;0;0;
0,11;-31,125;12;0,000009999999747378752;2,5;0;0;
0,113;-31,125;12;0,000009999999747378752;2,5;0;0;
0,117;-31,125;12;0,000009999999747378752;2,5;0;0;
0,121;-31,125;12;0,000009999999747378752;2,5;0;0;
0,124;-31,125;12;0,000009999999747378752;2,5;0;0;
0,126;-31,125;12;0,000009999999747378752;2,5;0;0;
0,13;-31,125;12;0,000009999999747378752;2,5;0;0;
0,133;-31,125;12;0,000009999999747378752;2,5;0;0;
0,137;-31,125;12;0,000009999999747378752;2,5;0;0;
0,14;-31,125;12;0,000009999999747378752;2,5;0;0;
0,144;-31,125;12;0,000009999999747378752;2,5;0;0;
0,147;-31,125;12;0,000009999999747378752;2,5;0;0;
0,151;-31,125;12;0,000009999999747378752;2,5;0;0;
0,155;-31,125;12;0,000009999999747378752;2,5;0;0;
0,159;-31,125;12;0,000009999999747378752;2,5;0;0;
0,162;-31,125;12;0,000009999999747378752;2,5;0;0;
0,165;-31,125;12;0,000009999999747378752;2,5;0;0;
0,169;-31,125;12;0,000009999999747378752;2,5;0;0;
0,174;-31,125;12;0,000009999999747378752;2,5;0;0;
0,178;-31,125;12;0,000009999999747378752;2,5;0;0;
0,182;-31,125;12;0,000009999999747378752;2,5;0;0;
0,186;-31,125;12;0,000009999999747378752;2,5;0;0;
0,193;-31,125;12;0,000009999999747378752;2,5;0;0;
0,196;-31,125;12;0,000009999999747378752;2,5;0;0;
0,199;-31,125;12;0,000009999999747378752;2,5;0;0;
0,202;-31,125;12;0,000009999999747378752;2,5;0;0;
0,205;-31,125;12;0,000009999999747378752;2,5;0;0;
0,208;-31,125;12;0,000009999999747378752;2,5;0;0;
0,211;-31,125;12;0,000009999999747378752;2,5;0;0;
0,214;-31,125;12;0,000009999999747378752;2,5;0;0;
0,217;-31,125;12;0,000009999999747378752;2,5;0;0;
0,221;-31,125;12;0,000009999999747378752;2,5;0;0;
0,224;-31,125;12;0,000009999999747378752;2,5;0;0;
0,226;-31,125;12;0,000009999999747378752;2,5;0;0;
0,228;-31,125;12;0,000009999999747378752;2,5;0;0;
0,231;-31,125;12;0,000009999999747378752;2,5;0;0;
0,234;-31,125;12;0,000009999999747378752;2,5;0;0;
0,238;-31,125;12;0,000009999999747378752;2,5;0;0;
0,241;-31,125;12;0,000009999999747378752;2,5;0;0;
0,245;-31,125;12;0,000009999999747378752;2,5;0;0;
0,248;-31,125;12;0,000009999999747378752;2,5;0;0;
0,251;-31,125;12;0,000009999999747378752;2,5;0;0;
0,254;-31,125;12;0,000009999999747378752;2,5;0;0;
0,258;-31,125;12;0,000009999999747378752;2,5;0;0;
0,262;-31,125;12;0,000009999999747378752;2,5;0;0;
0,265;-31,125;12;0,000009999999747378752;2,5;0;0;
0,269;-31,125;12;0,000009999999747378752;2,5;0;0;
0,273;-31,125;12;0,000009999999747378752;2,5;0;0;
0,276;-31,125;12;0,000009999999747378752;2,5;0;0;
0,279;-31,125;12;0,000009999999747378752;2,5;0;0;
0,282;-31,125;12;0,000009999999747378752;2,5;0;0;
0,285;-31,125;12;0,000009999999747378752;2,5;0;0;
0,288;-31,125;12;0,000009999999747378752;2,5;0;0;
0,292;-31,125;12;0,000009999999747378752;2,5;0;0;
0,295;-31,125;12;0,000009999999747378752;2,5;0;0;
0,297;-31,125;12;0,000009999999747378752;2,5;0;0;
0,3;-31,125;12;0,000009999999747378752;2,5;0;0;
0,303;-31,125;12;0,000009999999747378752;2,5;0;0;
0,306;-31,125;12;0,000009999999747378752;2,5;0;0;
0,309;-31,125;12;0,000009999999747378752;2,5;0;0;
0,312;-31,125;12;0,000009999999747378752;2,5;0;0;
0,315;-31,125;12;0,000009999999747378752;2,5;0;0;
0,318;-31,125;12;0,000009999999747378752;2,5;0;0;
0,322;-31,125;12;0,000009999999747378752;2,5;0;0;
0,325;-31,125;12;0,000009999999747378752;2,5;0;0;
0,328;-31,125;12;0,000009999999747378752;2,5;0;0;
0,331;-31,125;12;0,000009999999747378752;2,5;0;0;
0,333;-31,125;12;0,000009999999747378752;2,5;0;0;
0,336;-31,125;12;0,000009999999747378752;2,5;0;0;
0,34;-31,125;12;0,000009999999747378752;2,5;0;0;
0,343;-31,125;12;0,000009999999747378752;2,5;0;0;
0,346;-31,125;12;0,000009999999747378752;2,5;0;0;
0,348;-31,125;12;0,000009999999747378752;2,5;0;0;
0,351;-31,125;12;0,000009999999747378752;2,5;0;0;
0,354;-31,125;12;0,000009999999747378752;2,5;0;0;
0,358;-31,125;12;0,000009999999747378752;2,5;0;0;
0,36;-31,125;12;0,000009999999747378752;2,5;0;0;
0,363;-31,125;12;0,000009999999747378752;2,5;0;0;
0,366;-31,125;12;0,000009999999747378752;2,5;0;0;
0,369;-31,125;12;0,000009999999747378752;2,5;0;0;
0,373;-31,125;12;0,000009999999747378752;2,5;0;0;
0,376;-31,125;12;0,000009999999747378752;2,5;0;0;
0,379;-31,125;12;0,000009999999747378752;2,5;0;0;
0,381;-31,125;12;0,000009999999747378752;2,5;0;0;
0,384;-31,125;12;0,000009999999747378752;2,5;0;0;
