time;copter_pitch_angle;copter_roll_angle;copter_yaw_angle;copter_z_distance;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
788,965;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,97;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,973;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,977;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,98;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,984;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,987;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,991;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,994;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
788,997;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,001;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,004;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,008;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,011;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,015;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,018;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,021;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,024;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,028;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,031;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,034;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,038;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,041;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,045;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,048;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,052;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,055;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,058;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,062;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,065;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,069;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,072;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,075;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,079;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,082;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,085;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,089;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,092;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,095;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,099;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,103;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,106;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,109;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,113;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,116;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,119;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,123;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,126;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,13;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,133;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,137;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,14;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,142;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,145;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,149;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,152;22,875;18,5625;254,125;3,532899856567383;0;0;100;10;0;
789,155;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,158;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,162;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,166;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,169;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,173;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,177;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,18;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,184;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,188;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,191;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,194;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,198;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,201;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,205;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,209;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,212;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,216;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,219;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,222;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,226;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,229;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,233;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,236;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,24;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,243;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,246;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,25;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,252;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,255;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,259;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,262;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,265;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,269;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,272;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,275;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,278;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,282;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,286;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,289;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,293;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,296;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
789,299;22,875;18,625;254,125;3,532899856567383;0;0;100;10;0;
