time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;REF_PITCH_ANGLE;REF_ROLL_ANGLE;REF_YAW_ANGLE;REF_Z_DISTANCE;SS;
0;23,5625;22,969221115112305;23,040115356445312;18,375;18,248355865478516;18,148515701293945;0;0;100;10;0;
0,006;23,5625;22,958314895629883;23,02979850769043;18,375;18,197589874267578;18,11627769470215;0;0;100;10;0;
0,01;23,5625;22,958314895629883;23,02979850769043;18,375;18,197589874267578;18,11627769470215;0;0;100;10;0;
0,014;23,5625;22,958314895629883;23,02979850769043;18,375;18,197589874267578;18,11627769470215;0;0;100;10;0;
0,019;23,5625;22,941781997680664;23,015483856201172;18,375;18,24079132080078;18,146432876586914;0;0;100;10;0;
0,022;23,5625;22,941781997680664;23,015483856201172;18,375;18,24079132080078;18,146432876586914;0;0;100;10;0;
0,026;23,5625;22,896181106567383;22,983163833618164;18,375;18,24881935119629;18,154197692871094;0;0;100;10;0;
0,03;23,5625;22,896181106567383;22,983163833618164;18,375;18,24881935119629;18,154197692871094;0;0;100;10;0;
0,034;23,5625;22,896181106567383;22,983163833618164;18,375;18,24881935119629;18,154197692871094;0;0;100;10;0;
0,038;23,5625;22,938426971435547;23,00922393798828;18,375;18,288061141967773;18,18252182006836;0;0;100;10;0;
0,041;23,5625;22,938426971435547;23,00922393798828;18,375;18,288061141967773;18,18252182006836;0;0;100;10;0;
0,045;23,5625;22,910064697265625;22,987701416015625;18,375;18,233741760253906;18,149253845214844;0;0;100;10;0;
0,049;23,5625;22,910064697265625;22,987701416015625;18,375;18,233741760253906;18,149253845214844;0;0;100;10;0;
0,052;23,5625;22,910064697265625;22,987701416015625;18,375;18,233741760253906;18,149253845214844;0;0;100;10;0;
0,057;23,5625;22,926076889038086;22,994688034057617;18,375;18,175430297851562;18,112184524536133;0;0;100;10;0;
0,06;23,5625;22,926076889038086;22,994688034057617;18,375;18,175430297851562;18,112184524536133;0;0;100;10;0;
0,064;23,5625;22,926076889038086;22,994688034057617;18,375;18,175430297851562;18,112184524536133;0;0;100;10;0;
0,068;23,5625;22,89455223083496;22,971229553222656;18,375;18,212793350219727;18,138914108276367;0;0;100;10;0;
0,072;23,5625;22,89455223083496;22,971229553222656;18,375;18,212793350219727;18,138914108276367;0;0;100;10;0;
0,076;23,5625;22,924243927001953;22,989513397216797;18,375;18,224451065063477;18,148456573486328;0;0;100;10;0;
0,08;23,5625;22,924243927001953;22,989513397216797;18,375;18,224451065063477;18,148456573486328;0;0;100;10;0;
0,084;23,5625;22,924243927001953;22,989513397216797;18,375;18,224451065063477;18,148456573486328;0;0;100;10;0;
0,087;23,5625;22,933273315429688;22,993207931518555;18,375;18,27065086364746;18,18105697631836;0;0;100;10;0;
0,091;23,5625;22,933273315429688;22,993207931518555;18,375;18,27065086364746;18,18105697631836;0;0;100;10;0;
0,095;23,5625;22,941131591796875;22,996204376220703;18,375;18,224210739135742;18,152973175048828;0;0;100;10;0;
0,099;23,5625;22,941131591796875;22,996204376220703;18,375;18,224210739135742;18,152973175048828;0;0;100;10;0;
0,102;23,5625;22,941131591796875;22,996204376220703;18,375;18,224210739135742;18,152973175048828;0;0;100;10;0;
0,105;23,5625;22,910524368286133;22,973745346069336;18,375;18,277769088745117;18,190244674682617;0;0;100;10;0;
0,108;23,5625;22,910524368286133;22,973745346069336;18,375;18,277769088745117;18,190244674682617;0;0;100;10;0;
0,111;23,5625;22,910524368286133;22,973745346069336;18,375;18,277769088745117;18,190244674682617;0;0;100;10;0;
0,114;23,5625;22,910524368286133;22,973745346069336;18,375;18,277769088745117;18,190244674682617;0;0;100;10;0;
0,118;23,5625;22,95722770690918;23,001676559448242;18,375;18,25929832458496;18,179798126220703;0;0;100;10;0;
0,121;23,5625;22,95722770690918;23,001676559448242;18,375;18,25929832458496;18,179798126220703;0;0;100;10;0;
0,125;23,5625;22,971059799194336;23,008935928344727;18,375;18,308961868286133;18,213092803955078;0;0;100;10;0;
0,128;23,5625;22,971059799194336;23,008935928344727;18,375;18,308961868286133;18,213092803955078;0;0;100;10;0;
0,132;23,5625;22,971059799194336;23,008935928344727;18,375;18,308961868286133;18,213092803955078;0;0;100;10;0;
0,135;23,5625;22,973480224609375;23,00822639465332;18,375;18,247955322265625;18,174779891967773;0;0;100;10;0;
0,138;23,5625;22,973480224609375;23,00822639465332;18,375;18,247955322265625;18,174779891967773;0;0;100;10;0;
0,141;23,5625;22,973480224609375;23,00822639465332;18,375;18,247955322265625;18,174779891967773;0;0;100;10;0;
0,144;23,5625;22,973480224609375;23,00822639465332;18,375;18,247955322265625;18,174779891967773;0;0;100;10;0;
0,148;23,5625;22,943349838256836;22,98649787902832;18,375;18,303197860717773;18,212135314941406;0;0;100;10;0;
0,151;23,5625;22,943349838256836;22,98649787902832;18,375;18,303197860717773;18,212135314941406;0;0;100;10;0;
0,155;23,5625;22,91106605529785;22,964317321777344;18,375;18,286924362182617;18,20294761657715;0;0;100;10;0;
0,158;23,5;22,91106605529785;22,964317321777344;18,375;18,286924362182617;18,20294761657715;0;0;100;10;0;
0,161;23,5;22,91106605529785;22,964317321777344;18,375;18,286924362182617;18,20294761657715;0;0;100;10;0;
0,165;23,5;22,93008041381836;22,975679397583008;18,375;18,322708129882812;18,227436065673828;0;0;100;10;0;
0,169;23,5;22,93008041381836;22,975679397583008;18,375;18,322708129882812;18,227436065673828;0;0;100;10;0;
0,174;23,5;22,93008041381836;22,975679397583008;18,375;18,322708129882812;18,227436065673828;0;0;100;10;0;
0,178;23,5;22,932619094848633;22,975770950317383;18,375;18,26361656188965;18,18868637084961;0;0;100;10;0;
0,182;23,5;22,932619094848633;22,975770950317383;18,375;18,26361656188965;18,18868637084961;0;0;100;10;0;
0,185;23,5;22,932619094848633;22,975770950317383;18,375;18,195459365844727;18,18868637084961;0;0;100;10;0;
0,187;23,5;22,95813751220703;22,989233016967773;18,375;18,195459365844727;18,14497947692871;0;0;100;10;0;
0,19;23,5;22,95813751220703;22,989233016967773;18,375;18,195459365844727;18,14497947692871;0;0;100;10;0;
0,193;23,5;22,95813751220703;22,989233016967773;18,375;18,195459365844727;18,14497947692871;0;0;100;10;0;
0,196;23,5;22,919456481933594;22,961519241333008;18,375;18,201318740844727;18,151016235351562;0;0;100;10;0;
0,2;23,5;22,919456481933594;22,961519241333008;18,375;18,201318740844727;18,151016235351562;0;0;100;10;0;
0,203;23,5;22,919456481933594;22,961519241333008;18,375;18,201318740844727;18,151016235351562;0;0;100;10;0;
0,207;23,5;22,94175910949707;22,974639892578125;18,375;18,224924087524414;18,168039321899414;0;0;100;10;0;
