time,copter_pitch_angle,copter_roll_angle,copter_yaw_angle,copter_z_distance,REF_PITCH_ANGLE,REF_ROLL_ANGLE,REF_YAW_ANGLE,REF_Z_DISTANCE,SS,
0,27.420183181762695,11.502192497253418,81.9375,1.354849934577942,0,0,100,10,0,
0.008,27.418846130371094,11.499401092529297,81.9375,1.354849934577942,0,0,100,10,0,
0.017,27.427751541137695,11.49753189086914,81.9375,1.354849934577942,0,0,100,10,0,
0.027,27.432954788208008,11.495380401611328,81.9375,1.354849934577942,0,0,100,10,0,
0.037,27.444778442382812,11.487442970275879,81.9375,1.354849934577942,0,0,100,10,0,
0.048,27.444562911987305,11.480884552001953,81.9375,1.354849934577942,0,0,100,10,0,
0.057,27.44087028503418,11.47061538696289,81.9375,1.354849934577942,0,0,100,10,0,
0.068,27.43077278137207,11.470747947692871,81.9375,1.354849934577942,0,0,100,10,0,
0.078,27.431413650512695,11.469595909118652,81.9375,1.354849934577942,0,0,100,10,0,
0.088,27.41835594177246,11.469112396240234,81.9375,1.354849934577942,0,0,100,10,0,
0.098,27.40635871887207,11.465224266052246,81.9375,1.354849934577942,0,0,100,10,0,
0.107,27.39835548400879,11.459665298461914,81.9375,1.354849934577942,0,0,100,10,0,
0.117,27.402311325073242,11.44813060760498,81.9375,1.354849934577942,0,0,100,10,0,
0.127,27.415197372436523,11.438138008117676,81.9375,1.354849934577942,0,0,100,10,0,
0.138,27.414020538330078,11.43107795715332,81.9375,1.354849934577942,0,0,100,10,0,
0.148,27.41423988342285,11.42371654510498,81.9375,1.354849934577942,0,0,100,10,0,
0.158,27.408447265625,11.416040420532227,81.9375,1.354849934577942,0,0,100,10,0,
0.167,27.42098617553711,11.406993865966797,81.9375,1.354849934577942,0,0,100,10,0,
0.177,27.424259185791016,11.411245346069336,81.9375,1.354849934577942,0,0,100,10,0,
0.187,27.420909881591797,11.413849830627441,81.9375,1.354849934577942,0,0,100,10,0,
0.198,27.419754028320312,11.41827392578125,81.9375,1.354849934577942,0,0,100,10,0,
0.207,27.426172256469727,11.414432525634766,81.9375,1.354849934577942,0,0,100,10,0,
0.217,27.425201416015625,11.41213321685791,81.9375,1.354849934577942,0,0,100,10,0,
0.227,27.420663833618164,11.407559394836426,81.9375,1.354849934577942,0,0,100,10,0,
0.237,27.414783477783203,11.406058311462402,81.9375,1.354849934577942,0,0,100,10,0,
0.248,27.414859771728516,11.39603042602539,81.9375,1.354849934577942,0,0,100,10,0,
0.257,27.425867080688477,11.385834693908691,81.9375,1.354849934577942,0,0,100,10,0,
0.267,27.43574333190918,11.379776000976562,81.9375,1.354849934577942,0,0,100,10,0,
0.277,27.445789337158203,11.375215530395508,81.9375,1.354849934577942,0,0,100,10,0,
0.287,27.450748443603516,11.375672340393066,81.9375,1.354849934577942,0,0,100,10,0,
